posyandu_berkas,puskesmas,kelurahan,posyandu_master
Mutiara,BONTANG SELATAN II,BEREBAS PANTAI,Mutiara 2
flamboyan,BONTANG UTARA II,LOK TUAN,Flamboyan 2
edelweis,BONTANG UTARA I,BONTANG KUALA,Griya Edelweis
bakung,BONTANG UTARA I,GUNUNG ELAI,Bakung 2
ANGGREK,BONTANG BARAT,BELIMBING,Anggrek
ANGGREK1,BONTANG BARAT,GUNUNG TELIHAN,Anggrek1
SEJAHTERA 2,BONTANG BARAT,KANAAN,Sejahtera IV
CENDRAWASIH,BONTANG BARAT,BELIMBING,Cendrawasih II
CENDRAWASIH1,BONTANG BARAT,GUNUNG TELIHAN,Cendrawasih
,BONTANG LESTARI,BONTANG LESTARI,Pasir Putih 10
,BONTANG BARAT,GUNUNG TELIHAN,Sejahtera 5
